id:ID(KG),:LABEL,name,provided_by,accession,length,source_db,mane_status,mane_refseq_nuc,mane_ensembl_nuc,mane_ensembl_prot
NCBIProtein:NP_683720,Protein,proteasome subunit beta type-8 isoform E2 precursor,NCBI:RefSeq,NP_683720.2,276,RefSeq,MANE Select,NM_148919.4,ENST00000374882.8,ENSP00000364016.4
NCBIProtein:NP_002791,Protein,proteasome subunit beta type-9 precursor,NCBI:RefSeq,NP_002791.1,219,RefSeq,MANE Select,NM_002800.5,ENST00000374859.3,ENSP00000363993.2
NCBIProtein:NP_002792,Protein,proteasome subunit beta type-10,NCBI:RefSeq,NP_002792.1,273,RefSeq,MANE Select,NM_002801.4,ENST00000358514.9,ENSP00000351314.4
NCBIProtein:NP_002793,Protein,26S proteasome regulatory subunit 4 isoform a,NCBI:RefSeq,NP_002793.2,440,RefSeq,MANE Select,NM_002802.3,ENST00000261303.13,ENSP00000261303.8
NCBIProtein:NP_002794,Protein,26S proteasome regulatory subunit 7 isoform 1,NCBI:RefSeq,NP_002794.1,433,RefSeq,MANE Select,NM_002803.4,ENST00000292644.5,ENSP00000292644.3
NCBIProtein:NP_002795,Protein,26S proteasome regulatory subunit 6A,NCBI:RefSeq,NP_002795.2,439,RefSeq,MANE Select,NM_002804.5,ENST00000298852.8,ENSP00000298852.3
NCBIProtein:NP_006494,Protein,26S proteasome regulatory subunit 6B isoform 1,NCBI:RefSeq,NP_006494.1,418,RefSeq,MANE Select,NM_006503.4,ENST00000157812.7,ENSP00000157812.1
NCBIProtein:NP_002796,Protein,26S proteasome regulatory subunit 8 isoform 1,NCBI:RefSeq,NP_002796.4,406,RefSeq,MANE Select,NM_002805.6,ENST00000310144.11,ENSP00000310572.6
NCBIProtein:NP_002797,Protein,26S proteasome regulatory subunit 10B isoform 1,NCBI:RefSeq,NP_002797.4,389,RefSeq,MANE Select,NM_002806.5,ENST00000445930.7,ENSP00000401802.3
NCBIProtein:NP_002798,Protein,26S proteasome non-ATPase regulatory subunit 1 isoform 1,NCBI:RefSeq,NP_002798.2,953,RefSeq,MANE Select,NM_002807.4,ENST00000308696.11,ENSP00000309474.6
NCBIProtein:NP_002799,Protein,26S proteasome non-ATPase regulatory subunit 2 isoform 1,NCBI:RefSeq,NP_002799.3,908,RefSeq,MANE Select,NM_002808.5,ENST00000310118.9,ENSP00000310129.4
NCBIProtein:NP_002800,Protein,26S proteasome non-ATPase regulatory subunit 3,NCBI:RefSeq,NP_002800.2,534,RefSeq,MANE Select,NM_002809.4,ENST00000264639.9,ENSP00000264639.4
NCBIProtein:NP_002801,Protein,26S proteasome non-ATPase regulatory subunit 4 isoform 2,NCBI:RefSeq,NP_002801.1,377,RefSeq,MANE Select,NM_002810.4,ENST00000368884.8,ENSP00000357879.4
NCBIProtein:NP_002802,Protein,26S proteasome non-ATPase regulatory subunit 7,NCBI:RefSeq,NP_002802.2,324,RefSeq,MANE Select,NM_002811.5,ENST00000219313.9,ENSP00000219313.4
NCBIProtein:NP_002803,Protein,26S proteasome non-ATPase regulatory subunit 8,NCBI:RefSeq,NP_002803.2,350,RefSeq,MANE Select,NM_002812.5,ENST00000215071.9,ENSP00000215071.4
NCBIProtein:NP_002804,Protein,26S proteasome non-ATPase regulatory subunit 9 isoform 1,NCBI:RefSeq,NP_002804.2,223,RefSeq,MANE Select,NM_002813.7,ENST00000541212.6,ENSP00000440485.1
NCBIProtein:NP_002805,Protein,26S proteasome non-ATPase regulatory subunit 10 isoform 1,NCBI:RefSeq,NP_002805.1,226,RefSeq,MANE Select,NM_002814.4,ENST00000217958.8,ENSP00000217958.3
NCBIProtein:NP_002806,Protein,26S proteasome non-ATPase regulatory subunit 11,NCBI:RefSeq,NP_002806.2,422,RefSeq,MANE Select,NM_002815.4,ENST00000261712.8,ENSP00000261712.3
NCBIProtein:NP_002807,Protein,26S proteasome non-ATPase regulatory subunit 12 isoform 1,NCBI:RefSeq,NP_002807.1,456,RefSeq,MANE Select,NM_002816.5,ENST00000356126.8,ENSP00000348442.3
NCBIProtein:NP_002808,Protein,26S proteasome non-ATPase regulatory subunit 13 isoform 1,NCBI:RefSeq,NP_002808.3,376,RefSeq,MANE Select,NM_002817.4,ENST00000532097.6,ENSP00000436186.1
NCBIProtein:NP_006254,Protein,proteasome activator complex subunit 1 isoform 1,NCBI:RefSeq,NP_006254.1,249,RefSeq,MANE Select,NM_006263.4,ENST00000206451.11,ENSP00000206451.6
NCBIProtein:NP_002809,Protein,proteasome activator complex subunit 2,NCBI:RefSeq,NP_002809.2,239,RefSeq,MANE Select,NM_002818.3,ENST00000216802.10,ENSP00000216802.5
NCBIProtein:NP_004568,Protein,phosphoserine phosphatase,NCBI:RefSeq,NP_004568.2,225,RefSeq,MANE Select,NM_004577.4,ENST00000275605.8,ENSP00000275605.3
NCBIProtein:NP_000943,Protein,platelet-activating factor receptor,NCBI:RefSeq,NP_000943.1,342,RefSeq,MANE Select,NM_000952.5,ENST00000373857.8,ENSP00000362965.3
NCBIProtein:NP_000945,Protein,prostaglandin-H2 D-isomerase precursor,NCBI:RefSeq,NP_000945.3,190,RefSeq,MANE Select,NM_000954.6,ENST00000371625.8,ENSP00000360687.3
NCBIProtein:NP_000949,Protein,prostaglandin E2 receptor EP4 subtype,NCBI:RefSeq,NP_000949.1,488,RefSeq,MANE Select,NM_000958.3,ENST00000302472.4,ENSP00000302846.3
NCBIProtein:NP_000950,Protein,prostaglandin F2-alpha receptor isoform a precursor,NCBI:RefSeq,NP_000950.1,359,RefSeq,MANE Select,NM_000959.4,ENST00000370757.8,ENSP00000359793.3
NCBIProtein:NP_000952,Protein,prostacyclin synthase,NCBI:RefSeq,NP_000952.1,500,RefSeq,MANE Select,NM_000961.4,ENST00000244043.5,ENSP00000244043.3
NCBIProtein:NP_000306,Protein,parathyroid hormone isoform 1 preproprotein,NCBI:RefSeq,NP_000306.1,115,RefSeq,MANE Select,NM_000315.4,ENST00000282091.6,ENSP00000282091.1
NCBIProtein:NP_000953,Protein,prostaglandin G/H synthase 1 isoform 1 precursor,NCBI:RefSeq,NP_000953.2,599,RefSeq,MANE Select,NM_000962.4,ENST00000362012.7,ENSP00000354612.2
NCBIProtein:NP_000954,Protein,prostaglandin G/H synthase 2 precursor,NCBI:RefSeq,NP_000954.1,604,RefSeq,MANE Select,NM_000963.4,ENST00000367468.10,ENSP00000356438.5
NCBIProtein:NP_000307,Protein,parathyroid hormone/parathyroid hormone-related peptide receptor precursor,NCBI:RefSeq,NP_000307.1,593,RefSeq,MANE Select,NM_000316.3,ENST00000449590.6,ENSP00000402723.1
NCBIProtein:NP_001339631,Protein,focal adhesion kinase 1 isoform 7,NCBI:RefSeq,NP_001339631.1,1096,RefSeq,MANE Select,NM_001352702.2,ENST00000696786.1,ENSP00000512868.1
NCBIProtein:NP_005966,Protein,protein-tyrosine kinase 6 isoform 1,NCBI:RefSeq,NP_005966.1,451,RefSeq,MANE Select,NM_005975.4,ENST00000542869.3,ENSP00000442460.2
NCBIProtein:NP_002812,Protein,inactive tyrosine-protein kinase 7 isoform a precursor,NCBI:RefSeq,NP_002812.2,1070,RefSeq,MANE Select,NM_002821.5,ENST00000230419.9,ENSP00000230419.4
NCBIProtein:NP_002813,Protein,twinfilin-1 isoform 2,NCBI:RefSeq,NP_002813.3,350,RefSeq,MANE Select,NM_002822.5,ENST00000395510.7,ENSP00000378886.2
NCBIProtein:NP_002816,Protein,pleiotrophin isoform 1 precursor,NCBI:RefSeq,NP_002816.1,168,RefSeq,MANE Select,NM_002825.7,ENST00000348225.7,ENSP00000341170.2
NCBIProtein:NP_002818,Protein,tyrosine-protein phosphatase non-receptor type 1 isoform 1,NCBI:RefSeq,NP_002818.1,435,RefSeq,MANE Select,NM_002827.4,ENST00000371621.5,ENSP00000360683.3
NCBIProtein:NP_002820,Protein,tyrosine-protein phosphatase non-receptor type 3 isoform 1,NCBI:RefSeq,NP_002820.3,913,RefSeq,MANE Select,NM_002829.4,ENST00000374541.4,ENSP00000363667.1
NCBIProtein:NP_002825,Protein,tyrosine-protein phosphatase non-receptor type 11 isoform 1,NCBI:RefSeq,NP_002825.3,593,RefSeq,MANE Select,NM_002834.5,ENST00000351677.7,ENSP00000340944.3
NCBIProtein:NP_001103224,Protein,receptor-type tyrosine-protein phosphatase beta isoform a,NCBI:RefSeq,NP_001103224.1,2215,RefSeq,MANE Select,NM_001109754.4,ENST00000334414.11,ENSP00000334928.6
NCBIProtein:NP_002830,Protein,receptor-type tyrosine-protein phosphatase delta isoform 1 precursor,NCBI:RefSeq,NP_002830.1,1912,RefSeq,MANE Select,NM_002839.4,ENST00000381196.9,ENSP00000370593.3
NCBIProtein:NP_006495,Protein,receptor-type tyrosine-protein phosphatase epsilon isoform 1 precursor,NCBI:RefSeq,NP_006495.1,700,RefSeq,MANE Select,NM_006504.6,ENST00000254667.8,ENSP00000254667.3
NCBIProtein:NP_001098714,Protein,receptor-type tyrosine-protein phosphatase mu isoform 1 precursor,NCBI:RefSeq,NP_001098714.1,1465,RefSeq,MANE Select,NM_001105244.2,ENST00000580170.6,ENSP00000463325.1
NCBIProtein:NP_002837,Protein,receptor-type tyrosine-protein phosphatase-like N isoform 1 precursor,NCBI:RefSeq,NP_002837.1,979,RefSeq,MANE Select,NM_002846.4,ENST00000295718.7,ENSP00000295718.2
NCBIProtein:NP_002838,Protein,receptor-type tyrosine-protein phosphatase N2 isoform 1 precursor,NCBI:RefSeq,NP_002838.2,1015,RefSeq,MANE Select,NM_002847.5,ENST00000389418.9,ENSP00000374069.4
NCBIProtein:NP_000308,Protein,6-pyruvoyl tetrahydrobiopterin synthase,NCBI:RefSeq,NP_000308.1,145,RefSeq,MANE Select,NM_000317.3,ENST00000280362.8,ENSP00000280362.3
NCBIProtein:NP_002846,Protein,nectin-1 isoform 1 precursor,NCBI:RefSeq,NP_002846.3,517,RefSeq,MANE Select,NM_002855.5,ENST00000264025.8,ENSP00000264025.3
NCBIProtein:NP_002848,Protein,peroxisomal biogenesis factor 19 isoform a,NCBI:RefSeq,NP_002848.1,299,RefSeq,MANE Select,NM_002857.4,ENST00000368072.10,ENSP00000357051.5
NCBIProtein:NP_002849,Protein,ATP-binding cassette sub-family D member 3 isoform a,NCBI:RefSeq,NP_002849.1,659,RefSeq,MANE Select,NM_002858.4,ENST00000370214.9,ENSP00000359233.4
NCBIProtein:NP_005041,Protein,lysosomal cobalamin transporter ABCD4 isoform a,NCBI:RefSeq,NP_005041.1,606,RefSeq,MANE Select,NM_005050.4,ENST00000356924.9,ENSP00000349396.4
NCBIProtein:NP_000309,Protein,peroxisome biogenesis factor 2,NCBI:RefSeq,NP_000309.2,305,RefSeq,MANE Select,NM_000318.3,ENST00000357039.9,ENSP00000349543.4
NCBIProtein:NP_008838,Protein,"pyrroline-5-carboxylate reductase 1, mitochondrial isoform 1",NCBI:RefSeq,NP_008838.2,319,RefSeq,MANE Select,NM_006907.4,ENST00000329875.13,ENSP00000328858.8
NCBIProtein:NP_002851,Protein,delta-1-pyrroline-5-carboxylate synthase isoform 1,NCBI:RefSeq,NP_002851.2,795,RefSeq,MANE Select,NM_002860.4,ENST00000371224.7,ENSP00000360268.2
NCBIProtein:NP_002852,Protein,ethanolamine-phosphate cytidylyltransferase isoform 2,NCBI:RefSeq,NP_002852.1,389,RefSeq,MANE Select,NM_002861.5,ENST00000538936.7,ENSP00000439245.3
NCBIProtein:NP_005042,Protein,glutamine--tRNA ligase isoform a,NCBI:RefSeq,NP_005042.1,775,RefSeq,MANE Select,NM_005051.3,ENST00000306125.12,ENSP00000307567.6
NCBIProtein:NP_000311,Protein,dihydropteridine reductase isoform 1,NCBI:RefSeq,NP_000311.2,244,RefSeq,MANE Select,NM_000320.3,ENST00000281243.10,ENSP00000281243.5
NCBIProtein:NP_002857,Protein,ras-related protein Rab-3A,NCBI:RefSeq,NP_002857.1,220,RefSeq,MANE Select,NM_002866.5,ENST00000222256.9,ENSP00000222256.3
NCBIProtein:NP_004569,Protein,ras-related protein Rab-4A isoform 1,NCBI:RefSeq,NP_004569.2,218,RefSeq,MANE Select,NM_004578.4,ENST00000366690.5,ENSP00000355651.4
NCBIProtein:NP_004570,Protein,mitogen-activated protein kinase kinase kinase kinase 2 isoform 1,NCBI:RefSeq,NP_004570.2,820,RefSeq,MANE Select,NM_004579.5,ENST00000294066.7,ENSP00000294066.2
NCBIProtein:NP_002861,Protein,ras-related protein Rab-13 isoform 1,NCBI:RefSeq,NP_002861.1,203,RefSeq,MANE Select,NM_002870.5,ENST00000368575.5,ENSP00000357564.3
NCBIProtein:NP_899058,Protein,ras-related protein Rab-27A,NCBI:RefSeq,NP_899058.1,221,RefSeq,MANE Select,NM_183235.3,ENST00000336787.6,ENSP00000337761.1
NCBIProtein:NP_004574,Protein,ras-related protein Rab-5C isoform a,NCBI:RefSeq,NP_004574.2,216,RefSeq,MANE Select,NM_004583.4,ENST00000346213.9,ENSP00000345689.5
NCBIProtein:NP_008839,Protein,ras-related C3 botulinum toxin substrate 1 isoform Rac1,NCBI:RefSeq,NP_008839.2,192,RefSeq,MANE Select,NM_006908.5,ENST00000348035.9,ENSP00000258737.7
NCBIProtein:NP_002863,Protein,ras-related C3 botulinum toxin substrate 2,NCBI:RefSeq,NP_002863.1,192,RefSeq,MANE Select,NM_002872.5,ENST00000249071.11,ENSP00000249071.6
NCBIProtein:NP_579916,Protein,cell cycle checkpoint protein RAD17 isoform 1,NCBI:RefSeq,NP_579916.1,670,RefSeq,MANE Select,NM_133338.3,ENST00000354868.10,ENSP00000346938.5
NCBIProtein:NP_005044,Protein,lysine-specific demethylase RAD23A isoform 1,NCBI:RefSeq,NP_005044.1,363,RefSeq,MANE Select,NM_005053.4,ENST00000586534.6,ENSP00000467024.1
NCBIProtein:NP_002865,Protein,lysine-specific demethylase RAD23B isoform 1,NCBI:RefSeq,NP_002865.1,409,RefSeq,MANE Select,NM_002874.5,ENST00000358015.8,ENSP00000350708.3
NCBIProtein:NP_002866,Protein,DNA repair protein RAD51 homolog 1 isoform 1,NCBI:RefSeq,NP_002866.2,339,RefSeq,MANE Select,NM_002875.5,ENST00000267868.8,ENSP00000267868.3
NCBIProtein:NP_478123,Protein,DNA repair protein RAD51 homolog 3 isoform 1,NCBI:RefSeq,NP_478123.1,376,RefSeq,MANE Select,NM_058216.3,ENST00000337432.9,ENSP00000336701.4
NCBIProtein:NP_598194,Protein,DNA repair protein RAD51 homolog 2 isoform 2,NCBI:RefSeq,NP_598194.1,350,RefSeq,MANE Select,NM_133510.4,ENST00000471583.6,ENSP00000418859.1
NCBIProtein:NP_055041,Protein,MAPK/MAK/MRK overlapping kinase isoform 1,NCBI:RefSeq,NP_055041.1,419,RefSeq,MANE Select,NM_014226.3,ENST00000361847.7,ENSP00000355304.2
NCBIProtein:NP_002869,Protein,DNA repair protein RAD51 homolog 4 isoform 1,NCBI:RefSeq,NP_002869.3,328,RefSeq,MANE Select,NM_002878.4,ENST00000345365.11,ENSP00000338790.6
NCBIProtein:NP_002871,Protein,RAF proto-oncogene serine/threonine-protein kinase isoform b,NCBI:RefSeq,NP_002871.1,648,RefSeq,MANE Select,NM_002880.4,ENST00000251849.9,ENSP00000251849.4
NCBIProtein:NP_000527,Protein,V(D)J recombination-activating protein 2,NCBI:RefSeq,NP_000527.2,527,RefSeq,MANE Select,NM_000536.4,ENST00000311485.8,ENSP00000308620.4
NCBIProtein:NP_005393,Protein,ras-related protein Ral-A precursor,NCBI:RefSeq,NP_005393.2,206,RefSeq,MANE Select,NM_005402.4,ENST00000005257.7,ENSP00000005257.2
NCBIProtein:NP_002872,Protein,ras-related protein Ral-B,NCBI:RefSeq,NP_002872.1,206,RefSeq,MANE Select,NM_002881.3,ENST00000272519.10,ENSP00000272519.4
NCBIProtein:NP_006316,Protein,GTP-binding nuclear protein Ran isoform 1,NCBI:RefSeq,NP_006316.1,216,RefSeq,MANE Select,NM_006325.5,ENST00000543796.6,ENSP00000446215.1
NCBIProtein:NP_002875,Protein,ras-related protein Rap-1A precursor,NCBI:RefSeq,NP_002875.1,184,RefSeq,MANE Select,NM_002884.4,ENST00000369709.4,ENSP00000358723.3
NCBIProtein:NP_001010942,Protein,ras-related protein Rap-1b isoform 1 precursor,NCBI:RefSeq,NP_001010942.1,184,RefSeq,MANE Select,NM_001010942.3,ENST00000250559.14,ENSP00000250559.9
NCBIProtein:NP_001093897,Protein,rap1 GTPase-GDP dissociation stimulator 1 isoform 3,NCBI:RefSeq,NP_001093897.1,607,RefSeq,MANE Select,NM_001100427.2,ENST00000408927.8,ENSP00000386153.4
NCBIProtein:NP_000955,Protein,retinoic acid receptor alpha isoform 1,NCBI:RefSeq,NP_000955.1,462,RefSeq,MANE Select,NM_000964.4,ENST00000254066.10,ENSP00000254066.5
NCBIProtein:NP_002878,Protein,"arginine--tRNA ligase, cytoplasmic",NCBI:RefSeq,NP_002878.2,660,RefSeq,MANE Select,NM_002887.4,ENST00000231572.8,ENSP00000231572.3
NCBIProtein:NP_002880,Protein,retinoic acid receptor responder protein 2 precursor,NCBI:RefSeq,NP_002880.1,163,RefSeq,MANE Select,NM_002889.4,ENST00000223271.8,ENSP00000223271.3
NCBIProtein:NP_004576,Protein,phospholipase A and acyltransferase 4,NCBI:RefSeq,NP_004576.2,164,RefSeq,MANE Select,NM_004585.5,ENST00000255688.8,ENSP00000255688.3
NCBIProtein:NP_006497,Protein,ras GTPase-activating protein 2 isoform 3,NCBI:RefSeq,NP_006497.2,849,RefSeq,MANE Select,NM_006506.5,ENST00000286364.9,ENSP00000286364.3
NCBIProtein:NP_000312,Protein,retinoblastoma-associated protein isoform 1,NCBI:RefSeq,NP_000312.2,928,RefSeq,MANE Select,NM_000321.3,ENST00000267163.6,ENSP00000267163.4
NCBIProtein:NP_008841,Protein,E3 ubiquitin-protein ligase RBBP6 isoform 1,NCBI:RefSeq,NP_008841.2,1792,RefSeq,MANE Select,NM_006910.5,ENST00000319715.10,ENSP00000317872.4
NCBIProtein:NP_002890,Protein,retinol-binding protein 1 isoform a,NCBI:RefSeq,NP_002890.2,197,RefSeq,MANE Select,NM_002899.5,ENST00000672186.1,ENSP00000500931.1
NCBIProtein:NP_004155,Protein,retinol-binding protein 2,NCBI:RefSeq,NP_004155.2,134,RefSeq,MANE Select,NM_004164.3,ENST00000232217.6,ENSP00000232217.2
NCBIProtein:NP_002891,Protein,retinol-binding protein 3 precursor,NCBI:RefSeq,NP_002891.1,1247,RefSeq,MANE Select,NM_002900.3,ENST00000584701.2,ENSP00000463151.1
NCBIProtein:NP_002896,Protein,retinol dehydrogenase 5,NCBI:RefSeq,NP_002896.2,318,RefSeq,MANE Select,NM_002905.5,ENST00000257895.10,ENSP00000257895.6
NCBIProtein:NP_002897,Protein,radixin isoform 2,NCBI:RefSeq,NP_002897.1,583,RefSeq,MANE Select,NM_002906.4,ENST00000645495.2,ENSP00000496503.2
NCBIProtein:NP_002898,Protein,ATP-dependent DNA helicase Q1,NCBI:RefSeq,NP_002898.2,649,RefSeq,MANE Select,NM_002907.4,ENST00000444129.7,ENSP00000416739.2
NCBIProtein:NP_002900,Protein,lithostathine-1-alpha precursor,NCBI:RefSeq,NP_002900.2,166,RefSeq,MANE Select,NM_002909.5,ENST00000233735.2,ENSP00000233735.1
NCBIProtein:NP_006498,Protein,lithostathine-1-beta precursor,NCBI:RefSeq,NP_006498.1,166,RefSeq,MANE Select,NM_006507.4,ENST00000305089.8,ENSP00000303206.3
NCBIProtein:NP_068810,Protein,transcription factor p65 isoform 1,NCBI:RefSeq,NP_068810.3,551,RefSeq,MANE Select,NM_021975.4,ENST00000406246.8,ENSP00000384273.3
NCBIProtein:NP_000528,Protein,renin preproprotein,NCBI:RefSeq,NP_000528.1,406,RefSeq,MANE Select,NM_000537.4,ENST00000272190.9,ENSP00000272190.8
NCBIProtein:NP_002901,Protein,N-acylglucosamine 2-epimerase,NCBI:RefSeq,NP_002901.2,427,RefSeq,MANE Select,NM_002910.6,ENST00000393700.8,ENSP00000377303.3
NCBIProtein:NP_002902,Protein,regulator of nonsense transcripts 1 isoform 2,NCBI:RefSeq,NP_002902.2,1118,RefSeq,MANE Select,NM_002911.4,ENST00000262803.10,ENSP00000262803.5
NCBIProtein:NP_005603,Protein,RE1-silencing transcription factor isoform 1,NCBI:RefSeq,NP_005603.3,1097,RefSeq,MANE Select,NM_005612.5,ENST00000309042.12,ENSP00000311816.7
NCBIProtein:NP_066124,Protein,proto-oncogene tyrosine-protein kinase receptor Ret isoform a precursor,NCBI:RefSeq,NP_066124.1,1114,RefSeq,MANE Select,NM_020975.6,ENST00000355710.8,ENSP00000347942.3
NCBIProtein:NP_002904,Protein,replication factor C subunit 1 isoform 1,NCBI:RefSeq,NP_002904.3,1147,RefSeq,MANE Select,NM_002913.5,ENST00000349703.7,ENSP00000261424.4
NCBIProtein:NP_852136,Protein,replication factor C subunit 2 isoform 1,NCBI:RefSeq,NP_852136.1,354,RefSeq,MANE Select,NM_181471.3,ENST00000055077.8,ENSP00000055077.3
NCBIProtein:NP_002907,Protein,replication factor C subunit 4,NCBI:RefSeq,NP_002907.1,363,RefSeq,MANE Select,NM_002916.5,ENST00000296273.7,ENSP00000296273.2
NCBIProtein:NP_031396,Protein,replication factor C subunit 5 isoform 1,NCBI:RefSeq,NP_031396.1,340,RefSeq,MANE Select,NM_007370.7,ENST00000454402.7,ENSP00000408295.2
NCBIProtein:NP_006501,Protein,zinc finger protein RFP,NCBI:RefSeq,NP_006501.1,513,RefSeq,MANE Select,NM_006510.5,ENST00000377199.4,ENSP00000366404.3
NCBIProtein:NP_066306,Protein,ret finger protein-like 1 isoform 1,NCBI:RefSeq,NP_066306.2,317,RefSeq,MANE Select,NM_021026.2,ENST00000354373.2,ENSP00000346342.2
NCBIProtein:NP_001269045,Protein,transcription factor RFX3 isoform b,NCBI:RefSeq,NP_001269045.1,749,RefSeq,MANE Select,NM_001282116.2,ENST00000617270.5,ENSP00000482598.1
NCBIProtein:NP_001020774,Protein,DNA-binding protein RFX5 isoform 1,NCBI:RefSeq,NP_001020774.1,616,RefSeq,MANE Select,NM_001025603.2,ENST00000452671.7,ENSP00000389130.2
NCBIProtein:NP_000529,Protein,regulatory factor X-associated protein,NCBI:RefSeq,NP_000529.1,272,RefSeq,MANE Select,NM_000538.4,ENST00000255476.3,ENSP00000255476.3
NCBIProtein:NP_001012738,Protein,RPE-retinal G protein-coupled receptor isoform 2,NCBI:RefSeq,NP_001012738.1,291,RefSeq,MANE Select,NM_001012720.2,ENST00000652092.2,ENSP00000498299.1
NCBIProtein:NP_002914,Protein,regulator of G-protein signaling 2,NCBI:RefSeq,NP_002914.1,211,RefSeq,MANE Select,NM_002923.4,ENST00000235382.7,ENSP00000235382.5
NCBIProtein:NP_002920,Protein,rhodopsin kinase GRK1,NCBI:RefSeq,NP_002920.1,563,RefSeq,MANE Select,NM_002929.3,ENST00000335678.7,ENSP00000334876.5
NCBIProtein:NP_066956,Protein,2-5A-dependent ribonuclease,NCBI:RefSeq,NP_066956.1,741,RefSeq,MANE Select,NM_021133.4,ENST00000367559.7,ENSP00000356530.3
NCBIProtein:NP_002929,Protein,E3 ubiquitin-protein ligase RNF4 isoform 1,NCBI:RefSeq,NP_002929.1,190,RefSeq,MANE Select,NM_002938.5,ENST00000314289.13,ENSP00000315212.8
NCBIProtein:NP_008844,Protein,E3 ubiquitin-protein ligase RNF5,NCBI:RefSeq,NP_008844.1,180,RefSeq,MANE Select,NM_006913.4,ENST00000375094.4,ENSP00000364235.3
NCBIProtein:NP_005968,Protein,E3 ubiquitin-protein ligase RNF6 isoform 1,NCBI:RefSeq,NP_005968.1,685,RefSeq,MANE Select,NM_005977.4,ENST00000381588.9,ENSP00000371000.4
NCBIProtein:NP_002931,Protein,ATP-binding cassette sub-family E member 1,NCBI:RefSeq,NP_002931.2,599,RefSeq,MANE Select,NM_002940.3,ENST00000296577.9,ENSP00000296577.4
NCBIProtein:NP_005397,Protein,rho-associated protein kinase 1,NCBI:RefSeq,NP_005397.1,1354,RefSeq,MANE Select,NM_005406.3,ENST00000399799.3,ENSP00000382697.1
NCBIProtein:NP_001365831,Protein,proto-oncogene tyrosine-protein kinase ROS isoform 3 precursor,NCBI:RefSeq,NP_001365831.1,2341,RefSeq,MANE Select,NM_001378902.1,ENST00000368507.8,ENSP00000357493.3
NCBIProtein:NP_001030025,Protein,X-linked retinitis pigmentosa GTPase regulator isoform C,NCBI:RefSeq,NP_001030025.1,1152,RefSeq,MANE Select,NM_001034853.2,ENST00000645032.1,ENSP00000495537.1
NCBIProtein:NP_954699,Protein,ribulose-phosphate 3-epimerase isoform 1,NCBI:RefSeq,NP_954699.1,228,RefSeq,MANE Select,NM_199229.3,ENST00000359429.11,ENSP00000352401.6
NCBIProtein:NP_000320,Protein,retinoid isomerohydrolase isoform 1,NCBI:RefSeq,NP_000320.1,533,RefSeq,MANE Select,NM_000329.3,ENST00000262340.6,ENSP00000262340.5
NCBIProtein:NP_000960,Protein,large ribosomal subunit protein uL18,NCBI:RefSeq,NP_000960.2,297,RefSeq,MANE Select,NM_000969.5,ENST00000370321.8,ENSP00000359345.2
NCBIProtein:NP_000966,Protein,large ribosomal subunit protein uL5 isoform 1,NCBI:RefSeq,NP_000966.2,178,RefSeq,MANE Select,NM_000975.5,ENST00000643754.2,ENSP00000496250.1
NCBIProtein:NP_066957,Protein,large ribosomal subunit protein uL23m isoform 1,NCBI:RefSeq,NP_066957.3,153,RefSeq,MANE Select,NM_021134.4,ENST00000397298.8,ENSP00000380466.3
NCBIProtein:NP_002940,Protein,large ribosomal subunit protein bL12m,NCBI:RefSeq,NP_002940.2,198,RefSeq,MANE Select,NM_002949.4,ENST00000333676.8,ENSP00000333837.3
NCBIProtein:NP_203526,Protein,small ribosomal subunit protein uS12m precursor,NCBI:RefSeq,NP_203526.1,138,RefSeq,MANE Select,NM_033362.4,ENST00000308018.9,ENSP00000308845.3
NCBIProtein:NP_000996,Protein,small ribosomal subunit protein uS3 isoform 1,NCBI:RefSeq,NP_000996.2,243,RefSeq,MANE Select,NM_001005.5,ENST00000531188.6,ENSP00000434643.1
NCBIProtein:NP_002944,Protein,ribosomal protein S6 kinase alpha-1 isoform a,NCBI:RefSeq,NP_002944.2,735,RefSeq,MANE Select,NM_002953.4,ENST00000374168.7,ENSP00000363283.2
NCBIProtein:NP_066958,Protein,ribosomal protein S6 kinase alpha-2 isoform a,NCBI:RefSeq,NP_066958.2,733,RefSeq,MANE Select,NM_021135.6,ENST00000265678.9,ENSP00000265678.4
NCBIProtein:NP_004577,Protein,ribosomal protein S6 kinase alpha-3 isoform 1,NCBI:RefSeq,NP_004577.1,740,RefSeq,MANE Select,NM_004586.3,ENST00000379565.9,ENSP00000368884.3
NCBIProtein:NP_003152,Protein,ribosomal protein S6 kinase beta-1 isoform a,NCBI:RefSeq,NP_003152.1,525,RefSeq,MANE Select,NM_003161.4,ENST00000225577.9,ENSP00000225577.4
NCBIProtein:NP_003943,Protein,ribosomal protein S6 kinase beta-2,NCBI:RefSeq,NP_003943.2,482,RefSeq,MANE Select,NM_003952.3,ENST00000312629.10,ENSP00000308413.5
NCBIProtein:NP_001002,Protein,small ribosomal subunit protein eS7,NCBI:RefSeq,NP_001002.1,194,RefSeq,MANE Select,NM_001011.4,ENST00000645674.2,ENSP00000496757.1
NCBIProtein:NP_002945,Protein,ubiquitin-ribosomal protein eS31 fusion protein precursor,NCBI:RefSeq,NP_002945.1,156,RefSeq,MANE Select,NM_002954.6,ENST00000272317.11,ENSP00000272317.6
NCBIProtein:NP_001024,Protein,ribonucleoside-diphosphate reductase large subunit isoform 1,NCBI:RefSeq,NP_001024.1,792,RefSeq,MANE Select,NM_001033.5,ENST00000300738.10,ENSP00000300738.5
